PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,fare_per_person,age_fare_ratio,cabin_deck,cabin_room_number,booking_reference,service_id,cabin_score,name_word_count
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,23,Mr,Mr,2,0,1,7.25,3.0344827586206895,Unknown,,92490,221958,6.134151959357899,4
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,51,Mrs,Mrs,2,0,1,71.283,0.5330841866187452,C,85.0,15655423,771155,4.182430362906189,7
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,22,Miss,Miss,1,1,1,7.925,3.280757097791798,Unknown,,90218500,231932,9.327284833540133,3
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,44,Mrs,Mrs,2,0,2,26.55,0.6591337099811676,C,123.0,2493079,465838,8.660638895004084,7
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,24,Mr,Mr,1,1,1,8.05,4.3478260869565215,Unknown,,59517148,359178,0.45218670106189407,4
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,16,Mr,Mr,1,1,1,8.458,0.0,Unknown,,48924947,744167,0.26366974497252005,3
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,23,Mr,Mr,1,1,1,51.862,1.0412147505422995,E,46.0,64012690,210268,3.7646336687804958,4
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,30,Master,Master,5,0,4,5.269,0.09489916963226572,Unknown,,82205513,832180,8.105533307818328,4
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,49,Mrs,Mrs,3,0,3,3.711,2.425156961547789,Unknown,,73684929,154886,9.872761293149445,7
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,35,Mrs,Mrs,2,0,2,15.035,0.465567926360456,Unknown,,49331071,237337,1.5041689110352818,5
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,31,Miss,Miss,3,0,2,8.35,0.23952095808383234,G,6.0,93277601,621430,5.941307153521351,4
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,24,Miss,Miss,1,1,1,26.55,2.184557438794727,C,103.0,8844157,187498,3.8089085663102153,3
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,30,Mr,Mr,1,1,1,8.05,2.484472049689441,Unknown,,20103243,999159,9.699143978146033,4
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,27,Mr,Mr,7,0,7,4.468,1.2470023980815348,Unknown,,8883386,275203,8.421189231357086,4
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,36,Miss,Miss,1,1,1,7.854,1.7824858037737772,Unknown,,58210053,291335,8.383287047111379,5
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,32,Mrs,Mrs,1,1,1,16.0,3.4375,Unknown,,53480717,378167,4.686931597949703,5
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,20,Master,Master,6,0,5,5.825,0.06866952789699571,Unknown,,91578236,141090,4.148195023376652,3
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,28,Mr,Mr,1,1,1,13.0,0.0,Unknown,,22384978,429365,2.7340707193070624,4
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,55,Mrs,Mrs,2,0,1,18.0,1.7222222222222223,Unknown,,58327548,164820,0.5637549665092711,7
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,23,Mrs,Mrs,1,1,1,7.225,0.0,Unknown,,58189285,887201,8.647223762550531,3
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,20,Mr,Mr,1,1,2,13.0,1.3461538461538463,Unknown,,81355145,421879,8.129010091300776,4
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,21,Mr,Mr,1,1,1,13.0,2.6153846153846154,D,56.0,5937884,818315,9.997176732861305,3
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,27,Miss,Miss,1,1,1,8.029,1.8681811388432223,Unknown,,2580815,427069,9.966368370739055,4
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,28,Mr,Mr,1,1,1,35.5,0.7887323943661971,A,6.0,42316650,876997,5.5543170560262745,4
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,29,Miss,Miss,5,0,4,5.269,0.37959667852906287,Unknown,,82205513,299041,7.689874151805105,4
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S,57,Mrs,Mrs,7,0,4,7.847,1.210673038630028,Unknown,,3591410,891743,9.44765729882428,8
27,0,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,23,Mr,Mr,1,1,1,7.225,0.0,Unknown,,84697474,203355,8.496473906774115,4
